sampleID	treatment	wat_ccl2	wat_f480	wat_TNFa	wat_IL6	liver_cyp27a1	liver_cyp8b1	liver_Bsep	liver_shp	liver_cyp7a1	liver_fxr	liver_srebp1c	liver_nqo1	liver_scd1	liver_tnfa	liver_Il1b	colon_IL22	wat_il1b	wat_cox2	colon_mucin	colon_occludin_fc	colon_jam3_fc	colon_zo1_fc	colon_cox2_fc	colon_il6_fc	colon_claudin2_fc
1	1.HFD	1	1.13	1.33	1.57	1.89	2.23	3.26	3.19	1.03	1.68	1.66	2.09	1.92	2.3	2.76	0.41	2.2	2.83	2.8	3.11	1.58	0.71	2.91	1.04	1.03
2	1.HFD	1.04	1.23	1.39	0.72	0.67	0.83	0.83	0.98	0.54	0.5	0.22	0.78	0.86	1.01	1.33	0.57	1.27	1.87	2.55	1.84	1.44	0.89	2.43	2.2	0.95
3	1.HFD	1.06	0.24	0.45	0.4	2.21	2.45	2.3	9.48	0.45	1.53	1.79	1.05	1.12	1.83	2.43	1.15	0.89	2.97	1.26	0.77	0.87	1.1	0.99	1.22	1.46
4	1.HFD	0.99	1.84	2.35	1	0.37	0.26	0.32	0.2	0.29	0.37	0.34	0.59	0.85	1.37	0.83	1.57	1.49	0.55	0.51	0.9	0.91	1.07	1	0.44	0.42
5	1.HFD	1.05	1.72	0.9	1.91	0.87	0.75	0.77	0.45	1.41	1.21	1.06	1.58	0.74	0.68	2.22	0.9	1.08	0.27	0.16	0.87	0.83	0.99	0.8	0.1	0.56
6	1.HFD	1.22	0.49	0.67	0.9	0.97	0.85	1.03	1.63	2.73	1.41	1.45	2.17	1.56	1.56	2.79	0.59	0.49	1.34	1.63	1.03	1.14	1.12	1.39	1.07	0.77
7	1.HFD	1.17	5.13	2.24	4.54	1.32	1.44	1.52	0.2	1.03	1.36	1.21	0.48	1.11	0.5	0.29	1.05	1.7	0.33	2.47	1.15	1.43	1.63	1.77	1.12	1.23
8	1.HFD	1.58	0.2	0.41	0.99	0.67	0.75	0.74	2.29	0.89	0.97	1.41	0.69	1.3	0.54	0.29	0.65	0.55	1.52	0.26	0.48	0.32	0.71	0.26	na	0.71
9	1.HFD	1.23	0.55	0.71	0.45	0.65	0.72	0.67	0.44	0.79	0.62	0.62	0.49	0.34	0.69	0.37	1.95	0.57	2.04	4.38	2	3.89	2.97	2.14	na	1.93
10	1.HFD	1.11	1.47	1.33	1.24	0.78	0.83	0.51	1.08	1.62	0.86	0.98	1.27	1.12	1.06	1.39	0.62	2.07	0.61	1.74	2.05	1.75	0.84	2.7	2.24	1.15
11	1.HFD	1.12	1.88	1.09	0.69	1.85	1.73	1.65	0.98	1.65	1.36	4.11	1.91	1.8	1.32	1.05	2.33	1.03	1.69	0.52	0.21	0.41	0.52	0.25	na	na
12	1.HFD	1.71	1.23	0.9	0.72	1.39	1.22	1.02	1.11	1.86	1.3	0.69	0.73	0.57	0.62	0.48	2.36	0.44	0.31	0.32	0.61	0.46	0.8	0.19	3.09	2
13	2.XN	1.3	1.06	0.84	1.95	1.45	1.53	1.72	3.96	0.64	0.8	1.45	0.64	1.08	0.82	1.9	0.66	2.62	0.68	0.9	1.76	1.96	1.41	1.99	2.45	1.1
14	2.XN	0.32	0.36	0.42	0.57	1.76	1.99	1.81	4.01	0.88	0.9	1.95	0.65	2.22	1.91	1.65	1.77	0.97	2.1	0.32	0.67	1.13	1.24	0.45	0.41	na
15	2.XN	1.11	1.15	1.28	1.09	0.61	0.71	0.76	1.78	0.35	0.58	0.92	0.07	0.82	0.34	0.75	0.75	0.99	0.44	0.94	2.14	1.32	1.42	1.1	1.22	0.59
16	2.XN	0.8	1.15	1.38	0.54	0.66	0.69	0.51	0.21	0.17	0.21	0.21	0.07	0.59	0.55	0.26	0.18	0.61	0.99	0.27	2.51	1.4	1.34	1.38	1.5	0.76
17	2.XN	0.53	0.52	0.69	0.96	2.06	1.89	1.82	1.81	2.94	1.45	1.77	2.12	0.94	2.85	5.83	0.61	1.74	0.46	0.93	0.87	1.33	1.29	3.12	0.21	2.19
18	2.XN	1.77	2.96	2.14	2.1	0.53	0.67	0.45	0.32	0.5	0.44	0.57	0.93	1.27	1.06	0.76	1.42	2.22	2.87	0.54	0.61	0.49	0.81	0.67	na	na
19	2.XN	0.65	0.52	0.88	0.78	1.75	1.65	1.64	7.44	3.07	1.9	2.73	2.88	2.26	1.71	2	1.01	1.21	2.6	1.97	2.44	1.36	0.8	2.81	0.66	0.32
20	2.XN	2.01	2.15	1.96	1.04	0.77	0.88	0.74	2.26	1.36	0.86	0.99	2.02	2.22	0.67	0.6	0.35	0.83	1.89	1.55	1.8	0.97	0.62	2.6	0.8	1.34
21	2.XN	0.64	0.73	0.97	0.39	2.02	2.2	1.49	2.52	3	1.67	1.85	3.57	3.68	2.99	2.87	0.49	0.79	1.95	2.14	1.85	1.85	0.78	5.35	1.85	0.65
