	Observed	Chao1	se.chao1	ACE	se.ACE	Shannon	Simpson	InvSimpson	Fisher	Diet	sampleID
mouse01	396	460.5	18.1243120416387	470.442336483697	10.9176491264696	3.66754435344862	0.94962174321267	19.849833316414	59.7671813971865	1.HFD	m01
mouse02	387	509.34693877551	31.1592079672764	504.094783353695	11.7016095850096	3.50583870797893	0.939513795494811	16.5326954828884	58.1315083472051	1.HFD	m02
mouse03	418	511.396226415094	24.6435843642362	504.96705651057	11.2366394401273	3.6747300546117	0.950333847153171	20.1344364860311	63.0263283661709	1.HFD	m03
mouse04	360	457.631578947368	25.0007677970382	485.463496595738	11.7941000533728	3.27688163632136	0.917307654506226	12.0930177276843	54.5305480166004	1.HFD	m04
mouse05	407	481.166666666667	20.527172534125	488.986850756082	11.2121897859067	3.50211295967999	0.932632926999306	14.8440470315476	59.0436069263471	1.HFD	m05
mouse06	366	430.196721311475	17.8319059118725	445.378105690553	10.6500810241969	3.57852503768139	0.939540866788642	16.5400981933385	56.7727640887046	1.HFD	m06
mouse07	369	429.06	17.8366768849374	429.691554315908	10.1749507548753	3.41009465230101	0.929440483505503	14.1724327161168	52.8043207315884	1.HFD	m07
mouse08	425	518.020833333333	25.2534099134484	498.384446921334	10.8967559720914	3.53635746114224	0.936012579836086	15.6280718528477	62.7148634074678	1.HFD	m08
mouse09	427	495.357142857143	19.1087362401122	495.497887834545	10.9419406408209	3.49527452574747	0.932507012134462	14.8163539891319	62.2949887425648	1.HFD	m09
mouse10	404	503.491228070175	25.3697647838291	510.013696501841	11.4994410216917	3.4132737102115	0.935976745936875	15.6193248005486	59.2708944520737	1.HFD	m10
mouse11	448	530.685185185185	22.3131190810089	524.739561025902	11.343058250295	3.71775414707641	0.94646284298656	18.6786160450948	66.0531504057653	1.HFD	m11
mouse12	347	452.31914893617	28.0081095576487	449.945018227058	10.764787789878	3.61472628491589	0.94363022716104	17.7400040773066	54.0940571844676	1.HFD	m12
mouse13	361	480.386363636364	31.5418063901023	470.874406073654	11.1510205027709	3.49686684556097	0.933152367724566	14.959392965179	54.8849496220659	2.XN	m13
mouse14	336	439.466666666667	27.9663920803108	445.123821240404	11.0730531233916	3.48513431177942	0.939821456440878	16.6172183781342	48.6187411000704	2.XN	m14
mouse15	355	427.857142857143	20.7783966620817	433.953588361468	10.4387520236326	3.54995170708232	0.936793391523972	15.8211304816214	53.3987074516347	2.XN	m15
mouse16	325	398.357142857143	21.7804425521209	401.894306181066	10.1034587837274	3.62508009174169	0.944561966439495	18.0381578453462	49.0509731939047	2.XN	m16
mouse17	370	469.878048780488	27.9392107588328	465.175989421976	11.0207100516529	3.40890588482542	0.920659595439477	12.6039185902709	52.4035063975098	2.XN	m17
