	mouseID	sampleID	Diet	Gender	PL_leptin	PL_insulin	PL_glucose	PL_TAG	PL_CHL	liver_weight	weight	Feed_eff	weight_gain	HDCA	CA	TCA	TCA_isomer	DCA	UDCA	TDCA	TDCA-isomer	TCDCA	TUDCA	alpha_MCA	beta_MCA	T_alpha_MCA	T_beta_MCA	T_omega_MCA	TQ	liver_ref_ct	liver_fxr_ct	liver_srebp1c_ct	liver_nqo1_ct	liver_scd1_ct	liver_cyp7a1_ct	liver_shp_ct	liver_tnfa_ct	liver_il1b	wat_ref_ct	wat_il1b_ct	wat_il6_ct	wat_cox2_ct	wat_tnfa_ct	colon_ref_ct	colon_occludin_ct	colon_il22_ct	colon_jam3_ct	colon_zo1_ct	colon_cox2_ct	colon_il6_ct	colon_claudin2_ct
mouse01	01.HFD	m01	1.HFD-CON	M	14.63	2.92	201.39	87.18	208.53	1.5	20.6	10.4	21.9	378.26	1572.82	6736.92	377.91	1595.54	52.81	734.37	1984.94	1527.44	3450.8	112.45	1471.41	1320.45	27128.13	484.38	0.19352685	30.16	28.9	28.64	32.77	27.55	30.74	31.32	33.15	31.34	26.21	32.08	32.31	31.04	32.32	25.65	27.89	24.81	30.19	29.09	30.08	33.37	35.16
mouse02	02.HFD	m02	1.HFD-CON	M	9	0.9	145.93	112.76	190.6	1.4	21.6	13.05	21	124.37	106.25	357.66	117.67	688.22	9.26	111.03	94.09	114.74	295.5	71.02	816.5	524.84	6844.43	956.58	0.286952783	29.35	29.83	30.76	33.39	27.89	30.85	32.22	33.53	31.58	25.7	32.37	32.93	31.13	31.75	26.3	29.3	24.97	30.97	29.41	30.99	32.94	35.93
mouse03	03.HFD	m03	1.HFD-CON	M	7.76	0.74	148.58	138.45	164.9	1.1	11.3	22.69	10.9	190.97	195.94	410.2	76.73	939.58	17.02	123.81	106.6	80.41	396.5	61.8	742.52	378.19	5822.16	307.62	0.470470483	31.54	30.42	29.91	35.15	29.71	33.32	31.13	34.86	32.9	25.58	32.75	33.64	30.34	33.24	27.27	31.53	24.93	32.67	30.07	33.26	34.76	36.28
mouse04	04.HFD	m04	1.HFD-CON	M	12.57	4.24	170.35	66.45	208.55	1.6	19.9	10.95	20.9	243.47	434.08	750.24	230.93	1028.7	13.99	114.2	223.31	179.71	812.07	99.81	837.06	794.32	9788.26	410.15	0.4237571	29.36	30.3	30.14	33.8	27.93	31.77	34.55	33.1	32.28	24.87	31.3	31.62	32.06	30.16	26.91	30.94	24.12	32.24	29.75	32.88	35.88	37.73
mouse05	05.HFD	m05	1.HFD-CON	M	10.82	2.13	160.39	77.39	176.67	1.1	16.3	12.3	17.2	143.03	406.24	846.41	65.52	845.76	9.54	114.94	103.9	126.02	401.29	46.38	397.68	220.51	3169.47	370.72	0.340340317	30.78	29.99	29.91	33.8	29.54	30.9	34.78	35.53	32.27	25.47	32.37	31.29	33.71	32.15	26.37	30.44	24.38	31.84	29.32	32.66	37.48	36.76
mouse06	06.HFD	m06	1.HFD-CON	M	11.94	3.95	99.39	114.76	94.77	1	16.1	14.05	16.4	385.47	199.1	1347.49	175.1	1320.22	15.77	364.36	226.41	270.64	1294.87	140.5	1167.12	216.87	9679.34	318.76	0.537203867	30.71	29.7	29.38	33.27	28.4	29.88	32.84	34.26	31.87	25.5	33.54	32.4	31.41	32.59	26.58	30.42	25.21	31.59	29.35	32.08	34.26	36.52
mouse07	07.HFD	m07	1.HFD-CON	M	12.85	9.85	161.67	81.6	206.03	1.3	23.1	9.54	24.3	52.8	442.85	2450.24	320.48	353.71	45.11	164.88	851.86	793.98	393.1	174.81	1621.55	1525.11	20318.89	2304.89	0.230229517	30.76	29.81	29.69	35.49	28.94	31.33	35.9	35.95	35.17	25.63	31.87	30.2	33.58	30.99	27.39	31.07	25.18	32.07	29.62	32.54	35	36.65
mouse08	08.HFD	m08	1.HFD-CON	M	5.66	0.46	125.35	81.26	143.65	0.9	8.9	17.96	10.8	117.49	1809.37	491.1	134.77	1104.54	33.22	907.44	386.88	330.05	5125.03	125.78	793.44	256.69	11736.23	420.8	0.23690355	29.87	29.41	28.59	34.08	27.82	30.66	31.51	34.94	34.31	25.62	33.48	32.39	31.35	33.43	27.09	32.03	25.58	33.95	30.53	35.02	na	37.14
mouse09	09.HFD	m09	1.HFD-CON	M	14.89	1.13	195.11	78.66	182.59	1	17.4	12.38	18.6	66.08	182.32	77.64	169.39	530.42	20.13	46.09	196.61	164.23	351.82	126.19	815.94	803.27	10778.99	331.56	0.276943617	29.71	29.89	29.6	34.41	29.61	30.66	33.72	34.44	33.79	25.87	33.69	33.77	31.17	32.88	28.1	30.98	25	31.34	29.47	32.97	na	36.71
mouse10	10.HFD	m10	1.HFD-CON	M	9.78	1.2	147.92	79.74	162.88	0.9	13.4	15.03	13.7	45.07	571.35	1244.01	188.3	501.76	25.32	245.75	496.72	233.75	564.1	130.1	1400.65	1502.11	17873.65	1411.62	0.260260267	29.43	29.13	28.67	32.76	27.6	29.35	32.16	33.53	31.6	26.17	32.13	32.61	33.22	32.28	26.29	29.13	24.85	30.68	29.48	30.83	32.9	35.65
