	mouse01	mouse02	mouse03	mouse04	mouse05	mouse06	mouse07	mouse08	mouse09	mouse10	mouse11	mouse12	mouse13	mouse14	mouse15	mouse16	mouse17	mouse18	mouse19	mouse20	mouse21	mouse22	mouse23	mouse24	mouse25	mouse26	mouse27	mouse28	mouse29	mouse30	mouse31	mouse32	mouse33	mouse34	mouse35	mouse36	mouse37	mouse38	mouse39	mouse40	mouse41	mouse42	mouse43	mouse44	mouse45	mouse46	mouse48
ASV_1	7	5323	5130	7995	10	14	8894	15	9	6871	25	9	10	1783	8	8	29	15	13	16229	12	24	27	11843	24	17781	57	21465	23212	60	49	23502	57	36	51	83	17344	38	36	19	24	55	29	21343	68	18549	10021
ASV_2	3718	3162	4426	2167	3799	3452	4099	5201	5863	6106	4416	3911	2430	5786	4762	2620	6205	3504	3978	3146	5421	4008	3542	1181	3262	1022	3923	2497	1198	2263	6530	2702	4501	6605	4862	1731	809	3295	4923	4361	3443	4528	2352	1875	3340	1569	825
ASV_3	5244	6692	4228	5542	10345	5718	9074	8646	10152	5677	9073	4468	7154	6387	6510	5641	13119	8487	7816	7472	29	28	7522	30	1	2	5	8	5	0	14	2	20	1	3	1	1	0	0	0	0	3	0	2	3	1	0
ASV_4	3426	2656	3913	1748	3162	2942	3283	4146	4733	4774	3749	3066	2052	5167	4263	2166	4994	3047	3231	2600	4646	3455	3062	946	2655	816	3397	2170	991	1927	5265	2146	3694	5627	3823	1360	650	2677	4164	3545	2849	3897	1978	1545	2762	1251	665
ASV_5	4391	2822	1249	3884	7152	3059	2303	6139	5814	4699	5036	2164	3355	76	770	3797	866	564	1049	4906	15397	11241	10193	2031	4200	205	4984	7	597	17	1775	22	39	14	5458	4700	428	1099	8	4	2947	5	11	503	7	11	8
ASV_6	2960	1160	1902	921	1420	504	667	320	590	1130	1248	883	3840	1070	1700	1928	3084	1866	697	1783	2211	7152	3170	2320	1030	694	2120	139	2642	334	1180	649	2666	1726	2130	183	70	1069	36	1048	577	4	86	4	86	43	3
ASV_7	2091	2633	2780	2131	3943	2265	3517	3219	3817	2249	3276	1593	2630	2509	2559	2033	5040	3139	3267	2698	10	17	2739	12	1	0	3	1	0	0	3	0	7	0	0	1	0	0	1	1	1	0	0	0	3	0	0
ASV_8	5	1248	1157	1758	3	2	1977	5	2	1628	5	1	1	410	3	2	4	1	4	3463	2	8	3	2566	5	3728	9	4759	5028	8	14	5159	23	4	10	24	3718	11	9	3	4	17	2	4981	15	4206	2116
ASV_9	679	192	345	84	542	310	302	525	358	263	399	291	384	391	322	756	303	156	474	286	1419	1076	320	138	1237	865	902	1709	339	754	10	2265	3405	2274	2976	303	1257	1817	2006	2598	1741	921	2773	943	2400	1408	340
ASV_10	939	761	1021	482	833	745	949	1209	1371	1346	1066	957	597	1417	1132	623	1485	870	905	769	1245	943	827	285	810	237	878	594	308	554	1424	625	1071	1400	1187	375	165	820	1132	980	828	1127	537	419	784	383	165
ASV_11	1211	1551	1010	1208	2421	1361	2096	1994	2301	1337	2096	1021	1628	1434	1408	1291	3047	1782	1747	1577	8	7	1623	6	0	0	0	1	1	0	4	1	5	0	2	0	0	0	0	0	1	0	0	0	2	0	0
ASV_12	1148	248	374	129	675	179	618	505	566	463	209	137	1221	638	897	1592	872	656	799	725	630	1087	1452	284	1418	517	820	1157	611	1421	874	1349	44	3217	1722	10	264	260	305	1214	325	380	716	33	1233	157	233
ASV_13	823	573	887	402	756	665	787	987	1101	1084	888	768	461	1213	984	516	1173	733	732	579	1105	826	702	229	649	208	819	541	296	475	1207	552	919	1395	948	351	163	697	971	793	684	943	410	350	667	285	163
ASV_14	2365	2765	2508	1548	2943	1371	2512	3283	2737	2476	2163	1645	0	2	1	1	3	1	2565	1	0	0	4	1	0	0	0	0	2	1	0	1	0	0	0	0	1	1	1	2	1	0	0	2	0	0	2
ASV_15	996	611	274	874	1508	691	520	1297	1254	1072	1230	538	759	9	167	886	169	140	274	1171	3465	2597	2346	488	1012	55	1158	0	153	1	440	3	5	4	1256	1058	93	296	2	2	707	0	1	121	2	4	2
ASV_16	400	175	384	63	539	222	338	354	385	292	450	346	351	210	310	394	347	188	232	171	783	547	268	102	651	496	427	699	347	810	5	1079	2719	1116	1335	330	618	920	901	1195	969	517	1329	938	1103	644	382
ASV_17	11	13	345	3	4	294	1	268	6	12	9	6	138	3975	13	763	2	6	22	3	6	4	8	4	0	0	0	0	46	0	0	0	2	0	0	0	252	25	23	12	3919	4105	3164	2858	2714	1181	734
ASV_18	294	214	246	126	224	102	77	122	72	112	126	72	254	455	252	148	140	124	158	85	3	669	138	133	7	6	1683	0	693	12	3292	1038	5	2086	10	311	425	736	946	1014	1852	568	1944	755	1268	715	197
ASV_19	672	662	2561	624	1270	962	508	766	1496	656	2193	620	992	1509	2148	581	1014	464	363	189	784	114	909	123	1	0	0	1	65	0	3	1	1	0	99	425	4	248	1	59	1	1	2	97	0	4	44
ASV_20	336	327	234	184	205	384	96	364	266	230	333	160	456	1525	253	244	739	378	234	357	506	474	231	205	925	347	763	323	462	210	3	468	2072	0	836	593	444	986	723	742	697	468	449	471	2	331	259
ASV_21	207	76	0	16	41	81	107	138	20	218	67	82	98	440	2	62	216	280	93	116	584	602	465	212	402	183	1486	217	133	1501	2001	1707	8	2419	871	6	499	3	699	876	338	1112	553	315	827	390	140
ASV_22	385	10	23	11	10	103	25	188	24	31	12	9	56	200	7	407	18	1	238	108	754	515	48	10	687	643	482	786	1	1	2	1171	1093	1226	1545	1	737	1043	1113	1386	879	494	1472	3	1356	734	14
ASV_23	275	263	246	110	143	82	121	103	194	121	274	114	54	252	205	54	177	69	117	156	160	373	154	65	326	758	527	138	242	398	467	361	430	414	220	329	877	572	1625	664	807	571	1498	413	1026	917	248
ASV_24	127	158	184	85	355	183	165	299	134	158	300	40	169	142	159	32	589	202	203	276	442	240	222	26	1097	73	605	172	144	653	1348	174	653	357	646	615	197	448	643	410	581	476	1163	481	744	426	169
ASV_25	15	413	112	159	821	117	264	41	181	14	1158	222	275	109	268	408	286	174	362	901	191	239	237	101	1309	1317	1541	123	75	8	9	112	1983	276	722	708	0	58	266	580	83	1	0	778	1	4	100
ASV_26	395	303	676	219	634	454	771	718	873	846	829	585	332	459	668	341	521	372	435	346	464	560	490	71	124	285	97	1	142	183	299	294	6	0	384	190	194	531	28	138	557	196	351	395	127	102	74
ASV_27	43	1	71	20	17	78	2	76	75	59	24	0	15	2	209	53	1	9	107	31	689	810	109	64	852	378	1728	4	6	257	554	545	6	3	1097	5	1668	1021	1562	1116	203	6	420	734	420	192	112
ASV_28	143	178	9	121	205	170	370	353	222	286	183	398	226	2	266	482	604	215	437	287	2	490	377	90	464	699	298	788	560	1220	6	453	1827	737	892	239	0	1	237	0	228	208	0	221	1	1	205
ASV_29	301	131	459	97	321	87	224	280	245	306	293	207	331	118	632	196	374	63	85	297	1325	1148	731	455	300	13	95	3	50	194	98	1008	1344	613	347	211	1	321	2	5	145	250	114	183	0	137	28
ASV_30	450	662	633	464	906	518	772	757	849	535	749	388	630	606	587	509	1132	686	633	671	3	3	674	2	0	0	1	0	0	0	2	0	2	0	1	0	2	0	0	0	0	0	0	0	2	0	0
ASV_31	32	10	28	12	23	9	10	7	17	15	18	8	21	2	26	18	21	5	7	7	58	42	15	11	221	287	1060	28	29	1067	443	260	81	768	247	132	869	204	1051	886	494	834	1858	271	1381	504	402
ASV_32	82	123	192	122	113	150	94	263	109	92	216	89	143	219	116	184	199	69	130	136	133	146	157	46	529	132	136	287	42	44	148	392	488	214	321	298	472	199	559	318	298	194	2026	502	1663	740	127
ASV_33	262	240	44	302	838	396	471	600	260	106	521	289	670	281	257	417	588	393	790	772	597	466	503	128	1	0	1	259	1	0	3	1	3	0	1017	289	0	282	1	0	0	0	0	1	0	0	1
ASV_34	449	709	401	444	392	360	382	401	901	399	948	513	161	536	218	215	433	130	170	154	104	81	46	72	12	9	6	12	1	3	2	37	1770	5	16	421	7	82	4	8	2	1	5	25	908	1	2
ASV_35	838	826	356	317	358	395	1184	990	392	309	778	181	89	458	201	519	593	20	424	1053	372	323	51	431	2	1	1	2	0	1	2	0	3	0	0	1	0	1	0	1	0	0	2	2	0	0	0
ASV_36	281	415	619	292	909	719	738	702	458	342	1416	511	258	142	493	289	210	158	635	212	472	3	139	2	0	0	0	0	2	0	1	0	2	0	1	0	2	0	0	0	0	0	0	1	0	1	0
ASV_37	64	143	311	55	468	130	276	174	354	246	381	320	268	31	321	17	296	180	30	80	121	50	233	103	0	1	0	1	326	849	3	0	1751	1	3	269	1	164	2	1	229	50	38	964	1	2	351
ASV_38	342	375	435	326	380	506	197	358	368	166	433	216	333	577	551	291	706	234	223	361	462	539	337	96	0	0	0	0	5	0	0	0	459	0	1	113	1	171	0	37	0	0	0	10	0	0	0
ASV_39	1	1	0	0	1	1	0	0	0	0	2	0	1	0	1	1	2	2	1	0	0	1	1	1	2	0	1	0	3	49	2270	5	5	14	3	2	214	1404	445	1041	15	5	1228	4	1645	833	3
ASV_40	411	336	310	265	368	169	222	468	249	281	360	176	531	290	643	277	714	572	292	351	485	257	674	297	0	0	0	0	0	0	2	0	2	1	0	123	0	0	0	0	0	0	0	0	0	0	0
ASV_41	67	146	297	57	495	169	270	174	322	225	345	289	306	27	294	14	274	150	23	65	109	32	209	96	1	0	0	1	327	711	0	1	1597	3	0	280	1	161	1	0	225	41	44	851	2	0	312
ASV_42	73	63	98	47	207	83	80	156	90	74	148	21	96	82	89	16	360	85	93	149	228	113	96	15	545	38	316	98	59	378	690	90	324	195	326	315	92	231	366	201	304	256	650	272	405	163	89
ASV_43	1022	360	416	353	744	478	825	134	982	538	685	487	10	1	183	2	1228	0	5	4	483	8	1	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ASV_44	545	52	243	142	132	125	93	364	466	676	196	1	182	3	321	153	541	455	0	203	612	1	359	146	166	37	219	460	314	0	3	2	1188	1	2	0	0	0	0	0	162	1	1	267	2	0	0
ASV_45	64	128	105	21	169	141	85	165	133	13	143	40	285	193	98	149	264	15	151	139	12	179	159	62	555	287	63	198	143	9	3	232	1316	204	552	50	147	291	170	630	191	68	55	399	1	1	164
ASV_46	18	6	11	5	2	0	1	0	6	3	5	3	10	3	9	8	6	6	1	3	12	27	11	7	4	9	6	0	16	57	1816	4	9	17	12	0	205	1321	335	893	15	6	1030	1	1291	694	3
ASV_47	213	92	85	89	138	62	146	151	215	129	158	78	112	157	157	135	195	176	106	150	333	250	199	84	255	58	175	182	186	208	220	201	588	337	221	125	63	126	198	155	137	115	1	119	0	98	47
ASV_48	61	79	6	74	104	70	166	172	115	127	89	193	108	1	141	233	312	94	221	143	0	251	172	41	225	329	187	388	286	549	4	236	864	344	443	93	0	0	121	0	109	1	0	110	0	0	87
ASV_49	0	0	0	0	0	0	0	1	0	0	0	0	145	441	0	108	32	64	89	20	205	93	109	3	383	38	527	19	210	1224	676	336	16	636	176	146	175	0	240	6	87	5	291	0	249	396	0
ASV_50	81	103	73	63	171	111	110	194	117	62	119	58	145	119	111	106	178	67	78	121	233	155	226	76	183	158	143	62	217	496	104	171	575	114	249	1	82	102	94	157	206	104	294	204	141	139	83
ASV_51	563	598	526	326	617	307	553	699	567	504	465	352	0	0	1	1	1	1	494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0
ASV_52	54	51	162	37	184	73	213	86	3	0	139	125	207	163	273	141	349	183	141	166	267	260	280	92	114	84	132	96	130	1	207	250	627	1	1	101	1	233	133	351	2	1	3	247	1	1	102
ASV_53	314	339	216	309	507	194	571	580	633	301	576	246	91	1	267	225	2	319	321	439	0	1	1	0	0	0	0	1	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ASV_54	63	55	5	51	80	71	146	133	91	112	66	160	122	1	136	202	314	110	190	136	0	233	145	38	211	307	150	310	243	550	2	197	742	286	317	73	1	0	96	1	112	2	0	91	0	1	99
