	mouseID	sampleID	Diet	Gender	PL_leptin	PL_insulin	PL_glucose	PL_TAG	PL_CHL	liver_weight	weight	Feed_eff	weight_gain	HDCA	CA	TCA	TCA_isomer	DCA	TDCA	TUDCA	T-muriCA-2	TQ	liver_fxr_fc	liver_srebp1c_fc	liver_nqo1_fc	liver_scd1_fc	liver_cyp7a1_fc	liver_shp_fc	liver_tnfa_fc	liver_il1b	wat_il1b_fc	wat_il6_fc	wat_cox2_fc	wat_tnfa_fc	colon_occludin_fc	colon_il22_fc	colon_jam3_fc	colon_zo1_fc	colon_cox2_fc	colon_il6_fc	colon_claudin2_fc
mouse01	01.HFD	mm01	1.HFD	M	14.63	2.92	201.39	87.18	208.53	1.5	20.6	10.4	21.9	378.26	1572.82	6736.92	377.91	1595.54	734.37	3450.8	1320.45	0.19352685	1.68	1.66	2.09	1.92	1.03	3.19	2.3	2.76	2.2	1.57	2.83	1.33	3.11	0.41	1.58	0.71	2.91	1.04	1.03
mouse02	02.HFD	mm02	1.HFD	M	9	0.9	145.93	112.76	190.6	1.4	21.6	13.05	21	124.37	106.25	357.66	117.67	688.22	111.03	295.5	220.51	0.286952783	0.5	0.22	0.78	0.86	0.54	0.98	1.01	1.33	1.27	0.72	1.87	1.39	1.84	0.57	1.44	0.89	2.43	2.20	0.95
mouse03	03.HFD	mm03	1.HFD	M	7.76	0.74	148.58	138.45	164.9	1.1	11.3	22.69	10.9	190.97	195.94	410.2	76.73	939.58	123.81	396.5	803.27	0.470470483	1.53	1.79	1.05	1.12	0.45	9.48	1.83	2.43	0.89	0.4	2.97	0.45	0.77	1.15	0.87	1.1	0.99	1.22	1.46
mouse04	04.HFD	mm04	1.HFD	M	12.57	4.24	170.35	66.45	208.55	1.6	19.9	10.95	20.9	243.47	434.08	750.24	230.93	1028.7	114.2	812.07	467.81	0.4237571	0.37	0.34	0.59	0.85	0.29	0.2	1.37	0.83	1.49	1	0.55	2.35	0.9	1.57	0.91	1.07	1	0.44	0.42
mouse05	05.HFD	mm05	1.HFD	M	10.82	2.13	160.39	77.39	176.67	1.1	16.3	12.3	17.2	143.03	406.24	846.41	65.52	845.76	114.94	401.29	275.57	0.340340317	1.21	1.06	1.58	0.74	1.41	0.45	0.68	2.22	1.08	1.91	0.27	0.9	0.87	0.9	0.83	0.99	0.8	0.10	0.56
mouse06	06.HFD	mm06	1.HFD	M	11.94	3.95	99.39	114.76	94.77	1	16.1	14.05	16.4	385.47	199.1	1347.49	175.1	1320.22	364.36	1294.87	204.57	0.537203867	1.41	1.45	2.17	1.56	2.73	1.63	1.56	2.79	0.49	0.9	1.34	0.67	1.03	0.59	1.14	1.12	1.39	1.07	0.77
mouse07	07.HFD	mm07	1.HFD	M	12.85	9.85	161.67	81.6	206.03	1.3	23.1	9.54	24.3	52.8	442.85	2450.24	320.48	353.71	164.88	393.1	1770.92	0.230229517	1.36	1.21	0.48	1.11	1.03	0.2	0.5	0.29	1.7	4.54	0.33	2.24	1.15	1.05	1.43	1.63	1.77	1.12	1.23
mouse08	08.HFD	mm08	1.HFD	M	5.66	0.46	125.35	81.26	143.65	0.9	8.9	17.96	10.8	117.49	1809.37	491.1	134.77	1104.54	907.44	5125.03	1131.39	0.23690355	0.97	1.41	0.69	1.3	0.89	2.29	0.54	0.29	0.55	0.99	1.52	0.41	0.48	0.65	0.32	0.71	0.26	na	0.71
mouse09	09.HFD	mm09	1.HFD	M	14.89	1.13	195.11	78.66	182.59	1	17.4	12.38	18.6	66.08	182.32	77.64	169.39	530.42	46.09	351.82	1214.31	0.276943617	0.62	0.62	0.49	0.34	0.79	0.44	0.69	0.37	0.57	0.45	2.04	0.71	2	1.95	3.89	2.97	2.14	na	1.93
mouse10	10.HFD	mm10	1.HFD	M	9.78	1.2	147.92	79.74	162.88	0.9	13.4	15.03	13.7	45.07	571.35	1244.01	188.3	501.76	245.75	564.1	2708.39	0.260260267	0.86	0.98	1.27	1.12	1.62	1.08	1.06	1.39	2.07	1.24	0.61	1.33	2.05	0.62	1.75	0.84	2.7	2.24	1.15
mouse11	11.HFD	mm11	1.HFD	M	17.33	3.75	194.11	73.02	177.84	1.3	17.5	13.12	18.1	141.42	219.99	795.7	108.79	1128.02	56.79	283.78	833.85	0.286953617	1.36	4.11	1.91	1.8	1.65	0.98	1.32	1.05	1.03	0.69	1.69	1.09	0.21	2.33	0.41	0.52	0.25	na	na
mouse12	12.HFD	mm12	1.HFD	M	9.97	1.17	148.32	58.77	169.16	0.9	13.3	14.25	13.75	55.91	298.02	833.78	202.1	664.27	147.85	314.69	1950.71	0.343677017	1.3	0.69	0.73	0.57	1.86	1.11	0.62	0.48	0.44	0.72	0.31	0.9	0.61	2.36	0.46	0.8	0.19	3.09	2.00
mouse13	13.XN	mm13	2.XN	M	10.65	0.34	193.13	93.57	172.63	0.9	13	14.14	13.5	135.22	64.36	746.81	88.36	826.27	108.46	542.9	524.84	0.400400367	0.8	1.45	0.64	1.08	0.64	3.96	0.82	1.9	2.62	1.95	0.68	0.84	1.76	0.66	1.96	1.41	1.99	2.45	1.10
mouse14	14.XN	mm14	2.XN	M	6.63	0.4	163.22	82.19	169.97	0.8	12	15.87	12.2	192.62	340.64	777.32	155.18	1111.9	259.46	414.52	216.87	0.3870537	0.9	1.95	0.65	2.22	0.88	4.01	1.91	1.65	0.97	0.57	2.1	0.42	0.67	1.77	1.13	1.24	0.45	0.41	na
mouse15	15.XN	mm15	2.XN	M	5.79	1.16	145.07	110.79	169.33	0.9	17.2	13.77	17.1	222.59	373.43	926.35	165.12	1618.15	119.8	1232.69	1502.11	0.357023683	0.58	0.92	0.07	0.82	0.35	1.78	0.34	0.75	0.99	1.09	0.44	1.28	2.14	0.75	1.32	1.42	1.1	1.22	0.59
mouse16	16.XN	mm16	2.XN	M	9.47	1.34	176.15	88.07	176.29	1.1	15	13.24	15.7	301.72	409.7	973.62	84.11	1636.09	304.18	460.31	893.61	0.4104104	0.21	0.21	0.07	0.59	0.17	0.21	0.55	0.26	0.61	0.54	0.99	1.38	2.51	0.18	1.4	1.34	1.38	1.50	0.76
mouse17	17.XN	mm17	2.XN	M	8.73	0.52	160.75	84.63	196.9	2	13	16.84	12.9	316.52	466.94	914.28	63.29	1358.78	138.83	660.68	759.57	0.4104104	1.45	1.77	2.12	0.94	2.94	1.81	2.85	5.83	1.74	0.96	0.46	0.69	0.87	0.61	1.33	1.29	3.12	0.21	2.19
mouse18	18.XN	mm18	2.XN	M	11.68	4.78	160.18	65.53	209.74	1	21.3	10.26	22.8	171.54	304.01	735.92	98.16	787.95	225	369.04	929.03	0.457123817	0.44	0.57	0.93	1.27	0.5	0.32	1.06	0.76	2.22	2.1	2.87	2.14	0.61	1.42	0.49	0.81	0.67	na	na
mouse19	19.XN	mm19	2.XN	M	8.07	2.6	169.87	75.01	160.89	1.4	11.5	14.38	12.5	18.24	358.1	340.49	155.92	198.05	150.36	325.22	1050.62	0.413747083	1.9	2.73	2.88	2.26	3.07	7.44	1.71	2	1.21	0.78	2.6	0.88	2.44	1.01	1.36	0.8	2.81	0.66	0.32
mouse20	20.XN	mm20	2.XN	M	14.17	6.29	189.47	78.71	239.2	1.2	19.3	14.78	20.4	3.28	343.96	444.42	94.81	41.4	489.6	519.71	546.63	0.316983667	0.86	0.99	2.02	2.22	1.36	2.26	0.67	0.6	0.83	1.04	1.89	1.96	1.8	0.35	0.97	0.62	2.6	0.80	1.34
mouse21	21.XN	mm21	2.XN	M	15.41	2.63	195.06	87.69	222.55	1.2	19.2	10.56	20.8	10.74	190.02	521.52	189.38	166.36	214.25	467.98	312.11	0.29362695	1.67	1.85	3.57	3.68	3	2.52	2.99	2.87	0.79	0.39	1.95	0.97	1.85	0.49	1.85	0.78	5.35	1.85	0.65
mouse22	22.XN	mm22	2.XN	M	14.09	2.45	181.37	71.32	233.25	0.8	19.5	11.28	19.9	2	81.79	2082.56	363.77	32.19	899.54	861.85	1304.75	0.4471138	1.72	2.77	3.55	1.09	3.5	3.19	2.6	3.14	1.53	2.59	0.48	1.28	1.81	0.41	1.58	0.93	5.94	1.86	0.60
mouse23	23.XN	mm23	2.XN	M	6.01	1.81	95.24	76.87	179.71	1.5	10	17.17	10.5	2.99	544.24	458.72	159.78	57.44	98.82	267.99	1831.45	0.377043683	2.14	2.1	3.02	2.11	3.45	5.3	0.56	0.9	0.2	0.08	1.25	0.11	1.5	0.35	1.35	0.39	1.42	1.50	0.64
mouse24	24.XN	mm24	2.XN	M	16.39	7.01	200.01	53.66	224.41	0.9	22.3	9.48	24.2	6.58	110.51	3905.21	250.54	36.63	178.76	272.07	805.03	0.437103767	0.83	1.53	2.31	2.3	0.76	0.93	1.29	0.87	1.23	1.46	0.61	1.67	1.33	0.68	1.43	0.63	1.55	0.28	0.28
mouse25	25.DXN	mm25	3.DXN	M	6.96	0.54	153.92	109.69	194.6	0.9	11.4	16.37	12	177.89	519.4	3588.82	312.11	937.32	61.26	299.93	378.19	0.303636967	1.26	2.14	1	2.85	1.54	5.68	0.66	1.02	1.11	0.34	3.43	0.31	2.12	0.47	1.06	0.94	2.25	0.92	1.25
mouse26	26.DXN	mm26	3.DXN	M	14.53	2.32	163.56	110.56	200.3	1.3	19	11.67	20.1	460.17	874.34	3596.24	269.32	2425.69	210.51	2507.24	1525.11	0.306973633	0.68	0.91	0.91	1.94	0.3	3.35	0.57	0.3	1.18	0.97	0.9	1.53	1.09	0.82	0.91	0.85	3.66	0.45	0.43
mouse27	27.DXN	mm27	3.DXN	M	10.57	7.58	235.65	87.32	204.53	1.5	21.2	11.02	20.4	181.62	421.63	2327.04	187.07	950.73	98.18	315.17	595.46	0.2902903	0.55	0.89	0.94	2.67	0.3	1.5	0.3	0.26	1.66	1.43	1.95	1.37	0.86	0.91	1.27	1.06	2.38	0.94	0.07
mouse28	28.DXN	mm28	3.DXN	M	10.63	1.75	137.45	87.46	163.07	1.2	19.2	13.42	19.9	161.92	766.29	322.91	103.73	1140.11	301.61	581.01	702.44	0.363697033	1.16	1.96	1.27	1.27	0.5	3.8	1.6	0.75	2.31	0.94	1.73	1.34	2.15	0.41	1.16	0.8	1.33	0.49	1.35
mouse29	29.DXN	mm29	3.DXN	M	13.39	2.18	218.2	95.12	193.55	1.3	17.6	12.06	17.6	102.94	113.43	10088.11	316.8	566.52	72.69	219.97	647.47	0.280280283	1.56	1.8	3.33	7.67	2.88	2.14	1.97	2.18	2.13	1.15	0.55	1.63	1.19	0.49	0.75	0.66	0.82	1.90	0.55
mouse30	30.DXN	mm30	3.DXN	M	8.94	1.22	143.37	82.56	168.14	1.2	21.6	11.47	22.2	349.02	408.7	13912.75	246.24	1539.52	166.46	623.19	854.9	0.390390383	1.68	2.07	3.13	3.09	1.89	9.22	1.6	1.57	2.17	1.55	0.87	1.02	1.32	0.49	1.44	0.68	3.27	3.54	0.49
