	Var1	Freq	change
1	[Ruminococcus]	8	Increase
2	Akkermansia	2	Increase
3	Anaerotruncus	1	Increase
4	Clostridium	35	Increase
5	Coprobacillus	1	Increase
6	Coprococcus	3	Increase
7	Lachnospira	3	Increase
8	Moryella	2	Increase
9	Oscillospira	6	Increase
10	Roseburia	1	Increase
11	Ruminococcus	1	Increase
12	Trabulsiella	1	Increase
13	[Ruminococcus]	8	Decrease
14	02d06	1	Decrease
15	Adlercreutzia	1	Decrease
16	Akkermansia	1	Decrease
17	Anaeroplasma	1	Decrease
18	Anaerotruncus	4	Decrease
19	Butyricicoccus	3	Decrease
20	Clostridium	2	Decrease
21	Coprobacillus	2	Decrease
22	Coprococcus	2	Decrease
23	Dehalobacterium	2	Decrease
24	Dorea	1	Decrease
25	Lactobacillus	1	Decrease
26	Oscillospira	20	Decrease
27	Ruminococcus	5	Decrease
28	SMB53	3	Decrease
29	Staphylococcus	1	Decrease
30	Turicibacter	1	Decrease
