	Observed	Chao1	se.chao1	ACE	se.ACE	Shannon	Simpson	InvSimpson	Fisher	Diet	sampleID
mouse01	489	617.7	28.22186182	642.5530197	13.5061345	3.692449273	0.949960047	19.98403154	76.63563645	1.HFD	mm01
mouse02	490	744.53125	51.87159548	735.7942632	15.31988192	3.536878154	0.940039772	16.67772188	76.75164862	1.HFD	mm02
mouse03	498	676.8923077	38.80488954	665.8154621	13.5396079	3.700090219	0.950703404	20.2853765	77.44787833	1.HFD	mm03
mouse04	421	576.6617647	34.28078083	617.4574595	13.84350965	3.2990885	0.917816273	12.16785893	65.56778266	1.HFD	mm04
mouse05	485	632.3134328	32.96066009	644.1402894	13.33678395	3.52243257	0.933006576	14.92683824	72.48401044	1.HFD	mm05
mouse06	417	536.2307692	28.16284911	550.2273471	12.33494731	3.598376627	0.939894097	16.63730107	66.23468832	1.HFD	mm06
mouse07	422	523.9016393	25.36790329	526.9754312	11.50326938	3.423817652	0.92969882	14.2245123	61.75484051	1.HFD	mm07
mouse08	515	719.1	44.21438925	676.37739	13.18440419	3.562107749	0.936482249	15.74363056	78.56127169	1.HFD	mm08
mouse09	522	648.5384615	28.04763142	660.2144662	12.97746795	3.527217029	0.933157654	14.9605761	78.79703142	1.HFD	mm09
mouse10	490	688.0142857	41.16972565	699.0982698	14.14043285	3.437315247	0.936405426	15.72461202	74.31434225	1.HFD	mm10
mouse11	549	706.012987	33.30505416	709.8740987	13.57918749	3.742909202	0.946835889	18.80968153	83.84635339	1.HFD	mm11
mouse12	402	559.8983051	36.14670322	568.8185626	12.66402598	3.635326595	0.94397005	17.84759756	64.3820713	1.HFD	mm12
mouse13	443	636.8	42.39929073	638.5419921	13.5007271	3.527938571	0.933751884	15.09476898	69.86304609	2.XN	mm13
mouse14	448	652.4029851	42.79637841	677.2946833	14.73392349	3.518924651	0.940387465	16.77499527	68.09380215	2.XN	mm14
mouse15	441	580.0909091	31.63841111	596.3336991	12.80479844	3.578644998	0.937303095	15.94975059	68.9373733	2.XN	mm15
mouse16	392	493.0606061	24.67185321	529.5006236	12.08850069	3.649644374	0.944958484	18.1681041	61.16425506	2.XN	mm16
mouse17	485	781.1538462	62.88937059	749.2759429	15.05319727	3.433633087	0.921161645	12.68418143	71.8711869	2.XN	mm17
mouse18	370	465.390625	23.79554239	498.6895583	11.76415312	3.326637681	0.910879943	11.2208187	57.46009553	2.XN	mm18
mouse19	419	671.7826087	57.38632214	627.0154687	13.51190342	3.522254847	0.930989528	14.49055437	65.00315884	2.XN	mm19
mouse20	435	566.015625	30.4511389	573.106849	12.44828488	3.116068514	0.892290977	9.284273235	63.41709837	2.XN	mm20
mouse21	479	610.1428571	29.71367438	623.4133545	12.96052156	3.373994822	0.899329863	9.933432438	71.86547979	2.XN	mm21
mouse22	443	555.1590909	24.75683841	608.5143005	13.67331513	3.36612928	0.912858782	11.47562575	66.7750063	2.XN	mm22
mouse23	490	593.2	23.82187086	614.4426542	12.56173829	3.496376419	0.925454936	13.41470451	74.39543536	2.XN	mm23
mouse24	287	456.9411765	45.54036731	471.9322567	12.85401799	2.723197555	0.806169694	5.159151947	44.31496553	2.XN	mm24
mouse25	390	522.75	32.67405515	515.4573154	11.62698945	3.727789024	0.957628677	23.60086821	60.29246963	3.DXN	mm25
mouse26	282	391.0178571	27.37924354	454.9643856	12.94391993	2.419106148	0.736925289	3.801201559	41.73437369	3.DXN	mm26
mouse27	339	477.9583333	34.70542268	463.3477528	10.9947098	3.379563941	0.939946665	16.65186444	51.97545265	3.DXN	mm27
mouse28	290	405.56	29.60578103	434.3661338	11.62773668	2.346603182	0.74022219	3.849443497	41.64708262	3.DXN	mm28
mouse29	293	433.6222222	35.72811911	458.5253053	12.6554427	2.387051428	0.722298387	3.60098736	41.89483023	3.DXN	mm29
mouse30	324	431.12	27.88602013	448.749123	11.0986597	3.769146904	0.96420185	27.9344041	51.76685122	3.DXN	mm30
mouse31	353	438.1052632	22.48484404	453.3497335	11.04176337	3.307237431	0.929259334	14.13614057	53.55391752	3.DXN	mm31
mouse32	336	479.7258065	33.05725526	540.3563128	13.91332042	2.587110127	0.786228669	4.67789575	47.8840533	3.DXN	mm32
mouse33	480	637.1785714	32.52355007	670.0969197	14.11263216	3.764137487	0.962040954	26.34418141	73.58980709	3.DXN	mm33
mouse34	348	452.21875	25.47674493	475.9091032	11.96903988	3.174850724	0.92358358	13.08619265	52.74497662	3.DXN	mm34
mouse35	438	595.5142857	34.31384745	604.4295117	12.74948545	3.524508496	0.946912332	18.83676643	67.55736654	3.DXN	mm35
mouse36	330	449.0222222	31.25637195	450.9499318	11.11771459	3.481001523	0.925268529	13.3812433	53.00257234	3.DXN	mm36
mouse37	289	437.2222222	37.27902218	452.1116241	11.93239538	2.458189927	0.748697066	3.979261148	42.93786154	4.TXN	mm37
mouse38	394	552.1818182	35.0225448	585.5961987	13.63460052	3.713347864	0.955434864	22.43906534	64.89075742	4.TXN	mm38
mouse39	364	546.6666667	42.49058247	552.8342313	12.56175637	3.416667455	0.934758594	15.32768932	58.13043899	4.TXN	mm39
mouse40	376	590.9038462	48.22616102	574.2843884	12.78751737	3.467061254	0.94515988	18.23482502	59.99680296	4.TXN	mm40
mouse41	388	505.4242424	27.71202025	520.6581649	11.71282574	3.583456817	0.949372916	19.75227334	61.27206761	4.TXN	mm41
mouse42	293	464.6511628	42.60166869	491.0453436	12.7156011	3.152744956	0.915081955	11.77606004	46.00893052	4.TXN	mm42
mouse43	365	490.1016949	30.05371046	516.8283802	12.23368076	3.652559145	0.959179604	24.49755748	56.43322762	4.TXN	mm43
mouse44	341	485.8421053	34.08848783	536.4582798	13.51588546	2.67382964	0.793483065	4.842217893	49.35572589	4.TXN	mm44
