	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	X	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_3	3439.1531685922	-11.8339931224132	0.640415729013629	-18.4786109807764	3.06983082776658e-76	2.27474464337504e-73	ASV_3	k__Bacteria	 Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__S24-7	g__	s__
ASV_7	1334.99882594802	-10.8014358824395	0.637891454844374	-16.9330311613512	2.56807987497385e-64	9.51473593677812e-62	ASV_7	k__Bacteria	 Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__S24-7	g__	s__
ASV_69	78.728279100354	-5.49381438048529	0.336255780084167	-16.338200577876	5.27879290089199e-60	1.30386184652032e-57	ASV_69	k__Bacteria	 Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__S24-7	g__	s__
ASV_35	255.525622011055	-8.52785945702513	0.535290697604749	-15.9312678049227	3.84481832728672e-57	7.12252595129865e-55	ASV_35	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Oscillospira	s__
ASV_11	780.735045699574	-10.3077241181665	0.655092586453209	-15.7347592253706	8.73885020824252e-56	1.29509760086154e-53	ASV_11	k__Bacteria	 Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__S24-7	g__	s__
ASV_36	231.832402625577	-8.8021496803058	0.587417997193935	-14.9844739561151	9.27570666636535e-51	1.14554977329612e-48	ASV_36	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	NA	NA
ASV_30	307.528113408135	-8.85691836309503	0.633017484643385	-13.9915856638378	1.75455872735926e-44	1.85732573853316e-42	ASV_30	k__Bacteria	 Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__S24-7	g__	s__
ASV_91	47.7719972053529	-6.6727678183495	0.525224436598335	-12.70460274386	5.57518182034143e-37	5.16401216109125e-35	ASV_91	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Dehalobacteriaceae	g__Dehalobacterium	s__
ASV_31	310.300098370266	5.59144015164046	0.469546608662344	11.9081685363877	1.07308354654386e-32	8.83505453321113e-31	ASV_31	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	NA	NA
ASV_40	203.509378647769	-8.21940322402504	0.719294130174495	-11.4270405932981	3.06373149172662e-30	2.27022503536943e-28	ASV_40	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__	s__
ASV_14	685.145686589033	-10.2524316966113	0.898536233753105	-11.4101483184354	3.72094306556288e-30	2.50656255598372e-28	ASV_14	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__	s__
ASV_78	68.8127622453421	-5.14541550749084	0.456503476442582	-11.2713610586009	1.81738577116773e-29	1.12223571369607e-27	ASV_78	k__Bacteria	 Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__S24-7	g__	s__
ASV_53	144.100179570477	-8.62319604353246	0.77315033316476	-11.1533238409597	6.89805251227653e-29	3.93188993199762e-27	ASV_53	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Oscillospira	s__
ASV_55	141.776640876128	-7.92430123056268	0.714868306631482	-11.0849804880883	1.48382767229627e-28	7.85368789408242e-27	ASV_55	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Other	g__	s__
ASV_77	69.7695158691779	-7.16429920985709	0.651336478770685	-10.9993827205545	3.84756622777049e-28	1.90069771651862e-26	ASV_77	k__Bacteria	 Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__S24-7	g__	s__
ASV_43	199.108333200024	-9.17604835715968	0.848704827512731	-10.8118253363205	3.02588363856218e-27	1.40136236010911e-25	ASV_43	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	NA	NA
ASV_81	64.9024082996841	5.85106079538357	0.550932985821992	10.6202767776806	2.39848906500427e-26	1.04545905715774e-24	ASV_81	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	NA	NA
ASV_51	146.611138277651	-8.72582028022872	0.849370583974725	-10.273278171932	9.29900261138306e-25	3.82808940835269e-23	ASV_51	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__	s__
ASV_105	28.0405570983319	-5.84870540481558	0.603595454026362	-9.68977709457722	3.33255194880232e-22	1.2996952600329e-20	ASV_105	k__Bacteria	 Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__S24-7	g__	s__
ASV_138	14.3426715440899	-5.65482974299628	0.58416592046627	-9.68017740316433	3.66080203917557e-22	1.35632715551455e-20	ASV_138	k__Bacteria	 Tenericutes	c__Mollicutes	o__Anaeroplasmatales	f__Anaeroplasmataceae	g__Anaeroplasma	s__
ASV_92	45.6547725946037	-6.17641181672996	0.650673312337509	-9.49233924247104	2.25906821634902e-21	7.97128356340296e-20	ASV_92	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	NA	NA
ASV_39	207.12746234425	8.71320012490465	0.948945512474121	9.18198148404466	4.23230619954984e-20	1.42551767903019e-18	ASV_39	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__	s__
ASV_74	72.9009774846523	-5.96917060029041	0.654733401777576	-9.11694833971253	7.7269400264445e-20	2.4894185041719e-18	ASV_74	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Other	g__	s__
ASV_129	16.1591417509752	-5.25653286566993	0.593375350566915	-8.85869772084028	8.09545531558912e-19	2.49947182868814e-17	ASV_129	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Other	g__	s__
ASV_89	48.7786010846154	-5.73486545670907	0.648365156455687	-8.84511667477465	9.14327256167526e-19	2.71006598728055e-17	ASV_89	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Other	g__	s__
ASV_87	49.4774912957241	-5.73031301570804	0.652837067859026	-8.77755461175107	1.67067389152185e-18	4.76142059083728e-17	ASV_87	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	NA	NA	NA
ASV_65	100.754336261909	3.41036305208143	0.394784060274887	8.63855306039156	5.69294172901622e-18	1.56239623007445e-16	ASV_65	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__	s__
ASV_49	161.004613265332	6.9563964730799	0.819089891493629	8.49283643385557	2.01654011211033e-17	5.33662936812056e-16	ASV_49	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	NA	NA
ASV_133	15.1936401505513	-5.10940080682689	0.619772357311377	-8.2439959552115	1.66552789036901e-16	4.25571091987391e-15	ASV_133	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Ruminococcus	s__
ASV_128	16.4221379508404	-5.16870584416422	0.627754095378407	-8.23364735047813	1.81597763873196e-16	4.48546476766794e-15	ASV_128	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	NA	NA
ASV_71	77.1818534192296	-6.13587827883159	0.748342798761683	-8.1992881991848	2.4181456359815e-16	5.78014811697512e-15	ASV_71	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Oscillospira	s__
ASV_90	48.2718742827133	3.19341237392419	0.399111723629982	8.0012993476604	1.23113080763845e-15	2.85083727643779e-14	ASV_90	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__Roseburia	s__faecis
ASV_177	8.29204559792548	4.09404824674643	0.516255251178066	7.93027913498999	2.1865385651417e-15	4.90977295990909e-14	ASV_177	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__	s__
ASV_100	32.3714108043015	4.27316145704729	0.540874626876493	7.90046573588494	2.7786321763779e-15	6.05578365498831e-14	ASV_100	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__	s__
ASV_97	39.2620282825722	-5.8802055984951	0.748898449638318	-7.85180634481879	4.10087377357221e-15	8.68213561776288e-14	ASV_97	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Oscillospira	s__
ASV_161	9.51364024153766	-4.26531579230339	0.548103298986606	-7.78195606592694	7.14116700417079e-15	1.46989020835849e-13	ASV_161	k__Bacteria	 Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__S24-7	g__	s__
ASV_155	10.1111689577533	-4.30818437934647	0.555455459299448	-7.75612932993771	8.75607322173791e-15	1.75358115062373e-13	ASV_155	k__Bacteria	 Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__S24-7	g__	s__
ASV_66	99.3091615930828	2.41798094365851	0.317767865007179	7.60926830535203	2.75651984480882e-14	5.37521369737719e-13	ASV_66	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	NA	NA
ASV_46	177.962837522723	6.47470489148667	0.856198209106498	7.56215654578801	3.96440842939242e-14	7.53237601584559e-13	ASV_46	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__	s__
ASV_23	396.968894460699	2.3090263385669	0.309000373752469	7.47256810898423	7.86446395532385e-14	1.42135799777926e-12	ASV_23	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	NA	NA
ASV_119	22.0568739804742	-5.50476374493761	0.736585144494235	-7.47335699896225	7.81743853599831e-14	1.42135799777926e-12	ASV_119	k__Bacteria	 Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Anaerotruncus	s__
