id	Diet	HDCA	DCA-iso	DCA	aMCA	CA	bMCA	TDCA	TDCA-iso	TUDCA	TDCA-iso2	TCA-iso	T-amCA	T-bmCA	T-wmCA	TCA
mouse01	1.HFD	378.2568349	52.80685211	1595.54188	112.4510482	1572.82169	1471.40809	734.37003	1984.94071	3450.79949	1527.44393	377.90709	1320.451	27128.132	484.3791	6736.919
mouse02	1.HFD	135.2227563	9.25797552	826.27266	71.0187723	64.35912	816.49746	108.45591	94.09354	542.90358	114.74156	117.6703	524.8422	6844.432	956.58062	357.6631
mouse03	1.HFD	177.8922802	17.0163337	937.31718	61.8021466	519.40333	742.51777	61.26489	106.5997	299.92681	80.41057	76.72625	378.1917	5822.164	307.62321	410.1968
mouse04	1.HFD	210.9532468	13.9869817	953.18839	99.8102142	293.38623	837.06343	113.79606	223.31025	706.74857	179.70983	230.92635	794.3163	9788.264	410.15179	750.2393
mouse05	1.HFD	124.3735041	9.53861983	688.21701	46.3752334	106.25347	397.68382	111.02631	103.90382	295.50013	126.01547	65.51691	220.5122	3169.465	370.72364	846.4094
mouse06	1.HFD	192.6219043	15.7658434	1111.90444	140.4979291	340.63912	1167.12406	259.46313	226.40525	414.51892	270.6378	175.09712	216.8719	9679.342	318.7613	1347.4891
mouse07	1.HFD	460.1727503	45.11056195	2425.69326	174.8096969	874.33985	1621.54781	210.50816	851.86185	2507.24063	793.97523	320.48205	1525.1086	20318.888	2304.89433	2450.2449
mouse08	1.HFD	295.1085371	33.22001872	1053.18558	125.7779671	438.16566	793.44264	102.74536	386.8799	442.53981	330.04783	134.76579	256.6853	11736.229	420.80036	491.0996
mouse09	1.HFD	190.9737087	20.12614801	939.58491	126.1891911	195.93628	815.93592	123.807	196.61383	396.50457	164.23336	169.39059	803.2725	10778.985	331.55565	277.6413
mouse10	1.HFD	222.5917479	25.31821891	1618.14657	130.101535	373.42546	1400.647	119.79659	496.72378	1232.69334	233.74705	188.30159	1502.1148	17873.652	1411.62463	1244.0058
mouse11	1.HFD	181.6210778	9.24218038	950.73326	93.5343805	421.6332	932.0131	98.17633	116.89238	315.1713	206.20312	108.79182	595.4551	5139.967	833.00931	795.6963
