sampleID	treatment	BA-met_lv_cyp27a1	BA-met_lv_cyp8b1	BA-met_lv_Bsep	BA-met_lv_shp	BA-met_lv_cyp7a1	BA-met_lv_fxr	FA_lv_srebp1c	FA_lv_nqo1	FA_lv_scd1	inflammation_lv_tnfa	inflammation_lv_Il1b	inflammation_wat_ccl2	inflammation_wat_f480	inflammation_wat_TNFa	inflammation_wat_IL6	inflammation_wat_Il1b	BI_cn_mucin	BI_cn_occludin	BI_cn_jam3	BI_cn_zo1	BI_cn_cox2	BI_cn_IL22
1	1.HFD	1.89	2.23	3.26	3.19	1.03	1.68	1.66	2.09	1.92	2.3	2.76	1	1.13	1.33	1.57	2.2	2.8	3.11	1.58	0.71	2.91	0.41
2	1.HFD	0.67	0.83	0.83	0.98	0.54	0.5	0.22	0.78	0.86	1.01	1.33	1.04	1.23	1.39	0.72	1.27	2.55	1.84	1.44	0.89	2.43	0.57
3	1.HFD	2.21	2.45	2.3	9.48	0.45	1.53	1.79	1.05	1.12	1.83	2.43	1.06	0.24	0.45	0.4	0.89	1.26	0.77	0.87	1.1	0.99	1.15
4	1.HFD	0.37	0.26	0.32	0.2	0.29	0.37	0.34	0.59	0.85	1.37	0.83	0.99	1.84	2.35	1	1.49	0.51	0.9	0.91	1.07	1	1.57
5	1.HFD	0.87	0.75	0.77	0.45	1.41	1.21	1.06	1.58	0.74	0.68	2.22	1.05	1.72	0.9	1.91	1.08	0.16	0.87	0.83	0.99	0.8	0.9
6	1.HFD	0.97	0.85	1.03	1.63	2.73	1.41	1.45	2.17	1.56	1.56	2.79	1.22	0.49	0.67	0.9	0.49	1.63	1.03	1.14	1.12	1.39	0.59
7	1.HFD	1.32	1.44	1.52	0.2	1.03	1.36	1.21	0.48	1.11	0.5	0.29	1.17	5.13	2.24	4.54	1.7	2.47	1.15	1.43	1.63	1.77	1.05
8	1.HFD	0.67	0.75	0.74	2.29	0.89	0.97	1.41	0.69	1.3	0.54	0.29	1.58	0.2	0.41	0.99	0.55	0.26	0.48	0.32	0.71	0.26	0.65
9	1.HFD	0.65	0.72	0.67	0.44	0.79	0.62	0.62	0.49	0.34	0.69	0.37	1.23	0.55	0.71	0.45	0.57	4.38	2	3.89	2.97	2.14	1.95
10	1.HFD	0.78	0.83	0.51	1.08	1.62	0.86	0.98	1.27	1.12	1.06	1.39	1.11	1.47	1.33	1.24	2.07	1.74	2.05	1.75	0.84	2.7	0.62
11	1.HFD	1.85	1.73	1.65	0.98	1.65	1.36	4.11	1.91	1.8	1.32	1.05	1.12	1.88	1.09	0.69	1.03	0.52	0.21	0.41	0.52	0.25	2.33
12	1.HFD	1.39	1.22	1.02	1.11	1.86	1.3	0.69	0.73	0.57	0.62	0.48	1.71	1.23	0.9	0.72	0.44	0.32	0.61	0.46	0.8	0.19	2.36
13	2.XN	1.45	1.53	1.72	3.96	0.64	0.8	1.45	0.64	1.08	0.82	1.9	1.3	1.06	0.84	1.95	2.62	0.9	1.76	1.96	1.41	1.99	0.66
14	2.XN	1.76	1.99	1.81	4.01	0.88	0.9	1.95	0.65	2.22	1.91	1.65	0.32	0.36	0.42	0.57	0.97	0.32	0.67	1.13	1.24	0.45	1.77
15	2.XN	0.61	0.71	0.76	1.78	0.35	0.58	0.92	0.07	0.82	0.34	0.75	1.11	1.15	1.28	1.09	0.99	0.94	2.14	1.32	1.42	1.1	0.75
16	2.XN	0.66	0.69	0.51	0.21	0.17	0.21	0.21	0.07	0.59	0.55	0.26	0.8	1.15	1.38	0.54	0.61	0.27	2.51	1.4	1.34	1.38	0.18
17	2.XN	2.06	1.89	1.82	1.81	2.94	1.45	1.77	2.12	0.94	2.85	5.83	0.53	0.52	0.69	0.96	1.74	0.93	0.87	1.33	1.29	3.12	0.61
18	2.XN	0.53	0.67	0.45	0.32	0.5	0.44	0.57	0.93	1.27	1.06	0.76	1.77	2.96	2.14	2.1	2.22	0.54	0.61	0.49	0.81	0.67	1.42
19	2.XN	1.75	1.65	1.64	7.44	3.07	1.9	2.73	2.88	2.26	1.71	2	0.65	0.52	0.88	0.78	1.21	1.97	2.44	1.36	0.8	2.81	1.01
20	2.XN	0.77	0.88	0.74	2.26	1.36	0.86	0.99	2.02	2.22	0.67	0.6	2.01	2.15	1.96	1.04	0.83	1.55	1.8	0.97	0.62	2.6	0.35
21	2.XN	2.02	2.2	1.49	2.52	3	1.67	1.85	3.57	3.68	2.99	2.87	0.64	0.73	0.97	0.39	0.79	2.14	1.85	1.85	0.78	5.35	0.49
22	2.XN	2.82	3.58	2.31	3.19	3.5	1.72	2.77	3.55	1.09	2.6	3.14	1.69	2.02	1.28	2.59	1.53	1.62	1.81	1.58	0.93	5.94	0.41
23	2.XN	1.32	1.23	0.61	5.3	3.45	2.14	2.1	3.02	2.11	0.56	0.9	0.04	0.04	0.11	0.08	0.2	1.27	1.5	1.35	0.39	1.42	0.35
24	2.XN	0.86	0.82	0.54	0.93	0.76	0.83	1.53	2.31	2.3	1.29	0.87	1.58	3.82	1.67	1.46	1.23	1.43	1.33	1.43	0.63	1.55	0.68
25	3.DXN	1.09	1.24	0.99	5.68	1.54	1.26	2.14	1	2.85	0.66	1.02	0.19	0.15	0.31	0.34	1.11	2.04	2.12	1.06	0.94	2.25	0.47
26	3.DXN	0.57	0.74	0.44	3.35	0.3	0.68	0.91	0.91	1.94	0.57	0.3	2.07	2.81	1.53	0.97	1.18	1.46	1.09	0.91	0.85	3.66	0.82
27	3.DXN	0.52	0.66	0.39	1.5	0.3	0.55	0.89	0.94	2.67	0.3	0.26	2.33	2.27	1.37	1.43	1.66	0.92	0.86	1.27	1.06	2.38	0.91
28	3.DXN	1.04	1.19	0.84	3.8	0.5	1.16	1.96	1.27	1.27	1.6	0.75	2.13	1.53	1.34	0.94	2.31	0.47	2.15	1.16	0.8	1.33	0.41
29	3.DXN	1.04	1.1	0.67	2.14	2.88	1.56	1.8	3.33	7.67	1.97	2.18	1.43	2.37	1.63	1.15	2.13	0.68	1.19	0.75	0.66	0.82	0.49
30	3.DXN	1.32	1.32	0.96	9.22	1.89	1.68	2.07	3.13	3.09	1.6	1.57	1.23	1.2	1.02	1.55	2.17	1.78	1.32	1.44	0.68	3.27	0.49
31	3.DXN	1.24	2.04	0.89	3.8	4.22	1.9	3.01	1.7	0.44	0.76	0.44	0.43	0.29	0.24	0.2	0.57	1.95	2.61	1.95	0.54	2.5	0.24
32	3.DXN	2.43	2.64	1.49	15.62	3.13	2.25	3.08	4.43	1.51	1.96	1.45	0.76	0.84	0.8	0.79	0.68	0.26	2.56	1.83	0.57	1.41	0.21
33	3.DXN	0.63	0.84	0.43	0.98	2.32	1.1	10.13	1.04	0.67	1.17	1.17	0.33	0.33	0.63	1.06	4.08	2.67	2.78	2.58	0.59	2.95	0.18
34	3.DXN	0.66	0.99	0.42	2.09	2.76	1.34	2.09	1.98	2.62	1.58	0.96	1.5	1.66	1.28	0.9	1.13	1.38	1.9	1.54	0.6	2.81	0.15
35	3.DXN	1.06	1.6	0.55	4.3	2.94	1.51	2.64	1.53	0.68	3.53	1.5	0.13	0.13	0.27	0.62	0.48	0.7	1.04	1.1	0.88	1.04	0.44
36	3.DXN	0.62	0.79	0.4	4.58	3.99	1.46	5.24	2.65	2.2	0.33	0.45	1.26	1.66	1.59	0.8	0.62	0.38	1.13	1.46	0.93	1.17	0.61
37	4.TXN	0.97	1.39	0.73	4.16	0.97	0.99	1.6	1	1.39	0.84	0.9	0.35	0.2	0.46	0.78	1.27	1.72	1.75	0.83	0.86	2.57	0.42
38	4.TXN	1.34	2.02	0.87	9.82	2.82	1.81	2.83	2.05	2.41	1.12	0.75	0.11	0.07	0.15	0.36	3.58	1.82	1.79	1.34	0.62	2.6	0.23
39	4.TXN	0.58	0.72	0.39	3.4	0.72	0.83	1.54	1.64	2.08	0.28	0.31	0.58	0.47	0.95	0.37	0.76	1.35	3.22	1.66	0.75	1.68	0.32
40	4.TXN	0.62	0.97	0.44	2.96	1.08	1.06	1.36	1.41	0.52	0.64	0.54	0.34	0.17	0.42	0.47	0.87	1.81	2.11	1.36	0.52	4.2	0.21
